BusinessEntityID,NationalIDNumber,LoginID,JobTitle,BirthDate,MaritalStatus,Gender,HireDate,SalariedFlag,VacationHours,SickLeaveHours,Rate,PayFrequency,DepartmentID,Name,GroupName,ShiftID,StartDate,StartTime,EndTime
37,442121106,adventure-works\chris2,production technician - wc60,1986-08-07,s,m,2009-03-07,False,16,28,12.45,1,7,production,manufacturing,1,2009-03-07,2025-10-16 07:00:00,2025-10-16 15:00:00
38,6298838,adventure-works\kim1,production technician - wc60,1966-12-14,m,f,2010-01-16,False,24,32,12.45,1,7,production,manufacturing,1,2010-01-16,2025-10-16 07:00:00,2025-10-16 15:00:00
39,461786517,adventure-works\ed0,production technician - wc60,1971-09-11,s,m,2010-02-05,False,25,32,12.45,1,7,production,manufacturing,1,2010-02-05,2025-10-16 07:00:00,2025-10-16 15:00:00
40,309738752,adventure-works\jolynn0,production supervisor - wc60,1956-01-16,s,f,2007-12-26,False,82,61,25.0,2,7,production,manufacturing,3,2007-12-26,2025-10-16 23:00:00,2025-10-16 07:00:00
41,458159238,adventure-works\bryan0,production technician - wc60,1973-08-27,s,m,2009-01-21,False,35,37,12.45,1,7,production,manufacturing,3,2009-01-21,2025-10-16 23:00:00,2025-10-16 07:00:00
42,339712426,adventure-works\james0,production technician - wc60,1984-07-25,m,m,2008-12-27,False,39,39,12.45,1,7,production,manufacturing,3,2008-12-27,2025-10-16 23:00:00,2025-10-16 07:00:00
43,693325305,adventure-works\nancy0,production technician - wc60,1988-11-19,m,f,2009-01-02,False,34,37,12.45,1,7,production,manufacturing,3,2009-01-02,2025-10-16 23:00:00,2025-10-16 07:00:00
44,276751903,adventure-works\simon0,production technician - wc60,1990-05-17,s,m,2008-12-08,False,38,39,12.45,1,7,production,manufacturing,3,2008-12-08,2025-10-16 23:00:00,2025-10-16 07:00:00
45,500412746,adventure-works\thomas0,production technician - wc60,1986-01-10,m,m,2009-02-26,False,37,38,12.45,1,7,production,manufacturing,3,2009-02-26,2025-10-16 23:00:00,2025-10-16 07:00:00
46,66073987,adventure-works\eugene1,production technician - wc60,1976-02-10,s,m,2009-02-08,False,36,38,12.45,1,7,production,manufacturing,3,2009-02-08,2025-10-16 23:00:00,2025-10-16 07:00:00
47,33237992,adventure-works\andrew0,production supervisor - wc10,1988-09-06,s,m,2009-02-22,False,65,52,25.0,2,7,production,manufacturing,1,2009-02-22,2025-10-16 07:00:00,2025-10-16 15:00:00
48,690627818,adventure-works\ruth0,production technician - wc10,1956-06-04,m,f,2008-01-06,False,83,61,13.45,1,7,production,manufacturing,1,2008-01-06,2025-10-16 07:00:00,2025-10-16 15:00:00
49,912265825,adventure-works\barry0,production technician - wc10,1956-03-26,s,m,2008-01-07,False,88,64,13.45,1,7,production,manufacturing,1,2008-01-07,2025-10-16 07:00:00,2025-10-16 15:00:00
50,844973625,adventure-works\sidney0,production technician - wc10,1956-08-30,m,m,2008-02-02,False,84,62,13.45,1,7,production,manufacturing,1,2008-02-02,2025-10-16 07:00:00,2025-10-16 15:00:00
51,132674823,adventure-works\jeffrey0,production technician - wc10,1956-07-11,s,m,2008-02-20,False,85,62,13.45,1,7,production,manufacturing,1,2008-02-20,2025-10-16 07:00:00,2025-10-16 15:00:00
52,565090917,adventure-works\doris0,production technician - wc10,1956-04-04,m,f,2008-03-10,False,86,63,13.45,1,7,production,manufacturing,1,2008-03-10,2025-10-16 07:00:00,2025-10-16 15:00:00
53,9659517,adventure-works\diane0,production technician - wc10,1956-03-29,m,f,2008-03-28,False,87,63,13.45,1,7,production,manufacturing,1,2008-03-28,2025-10-16 07:00:00,2025-10-16 15:00:00
54,109272464,adventure-works\bonnie0,production technician - wc10,1986-09-10,m,f,2010-01-01,False,89,64,13.45,1,7,production,manufacturing,1,2010-01-01,2025-10-16 07:00:00,2025-10-16 15:00:00
55,233069302,adventure-works\taylor0,production supervisor - wc50,1956-04-01,m,m,2008-02-08,False,79,59,25.0,2,7,production,manufacturing,3,2008-02-08,2025-10-16 23:00:00,2025-10-16 07:00:00
56,652535724,adventure-works\denise0,production technician - wc50,1988-07-06,m,f,2009-02-05,False,9,24,11.0,1,7,production,manufacturing,3,2009-02-05,2025-10-16 23:00:00,2025-10-16 07:00:00
57,10708100,adventure-works\frank1,production technician - wc50,1971-07-24,s,m,2009-02-23,False,10,25,11.0,1,7,production,manufacturing,3,2009-02-23,2025-10-16 23:00:00,2025-10-16 07:00:00
58,571658797,adventure-works\kendall0,production technician - wc50,1986-05-30,m,m,2008-12-05,False,11,25,11.0,1,7,production,manufacturing,3,2008-12-05,2025-10-16 23:00:00,2025-10-16 07:00:00
59,843479922,adventure-works\bob0,production technician - wc50,1979-08-16,s,m,2008-12-24,False,12,26,11.0,1,7,production,manufacturing,3,2008-12-24,2025-10-16 23:00:00,2025-10-16 07:00:00
60,827686041,adventure-works\pete0,production technician - wc50,1977-02-03,s,m,2009-01-11,False,13,26,11.0,1,7,production,manufacturing,3,2009-01-11,2025-10-16 23:00:00,2025-10-16 07:00:00
61,92096924,adventure-works\diane2,production technician - wc50,1989-08-09,s,f,2009-01-18,False,8,24,11.0,1,7,production,manufacturing,3,2009-01-18,2025-10-16 23:00:00,2025-10-16 07:00:00
62,494170342,adventure-works\john0,production supervisor - wc60,1956-08-07,m,m,2008-03-17,False,81,60,25.0,2,7,production,manufacturing,2,2008-03-17,2025-10-16 15:00:00,2025-10-16 23:00:00
63,414476027,adventure-works\maciej0,production technician - wc60,1955-01-30,s,m,2010-01-29,False,30,35,12.45,1,7,production,manufacturing,2,2010-01-29,2025-10-16 15:00:00,2025-10-16 23:00:00
64,582347317,adventure-works\michael7,production technician - wc60,1973-09-05,s,m,2010-02-23,False,26,33,12.45,1,7,production,manufacturing,2,2010-02-23,2025-10-16 15:00:00,2025-10-16 23:00:00
65,8066363,adventure-works\randy0,production technician - wc60,1970-04-28,m,m,2010-02-23,False,29,34,12.45,1,7,production,manufacturing,2,2010-02-23,2025-10-16 15:00:00,2025-10-16 23:00:00
66,834186596,adventure-works\karan0,production technician - wc60,1970-03-07,s,m,2009-12-22,False,28,34,12.45,1,7,production,manufacturing,2,2009-12-22,2025-10-16 15:00:00,2025-10-16 23:00:00
67,63179277,adventure-works\jay0,production technician - wc60,1976-02-11,s,m,2009-03-05,False,32,36,12.45,1,7,production,manufacturing,2,2009-03-05,2025-10-16 15:00:00,2025-10-16 23:00:00
68,537092325,adventure-works\charles0,production technician - wc60,1971-09-02,s,m,2009-12-03,False,27,33,12.45,1,7,production,manufacturing,2,2009-12-03,2025-10-16 15:00:00,2025-10-16 23:00:00
69,752513276,adventure-works\steve0,production technician - wc60,1991-04-06,s,m,2009-02-15,False,31,35,12.45,1,7,production,manufacturing,2,2009-02-15,2025-10-16 15:00:00,2025-10-16 23:00:00
70,36151748,adventure-works\david2,production technician - wc60,1984-12-29,m,m,2008-12-15,False,33,36,12.45,1,7,production,manufacturing,2,2008-12-15,2025-10-16 15:00:00,2025-10-16 23:00:00
71,578935259,adventure-works\michael3,production supervisor - wc30,1989-01-29,s,m,2009-02-15,False,70,55,25.0,2,7,production,manufacturing,3,2009-02-15,2025-10-16 23:00:00,2025-10-16 07:00:00
72,443968955,adventure-works\steven0,production technician - wc30,1977-05-14,m,m,2008-12-01,False,41,40,9.5,1,7,production,manufacturing,3,2008-12-01,2025-10-16 23:00:00,2025-10-16 07:00:00
73,138280935,adventure-works\carole0,production technician - wc30,1983-10-19,m,f,2008-12-19,False,42,41,9.5,1,7,production,manufacturing,3,2008-12-19,2025-10-16 23:00:00,2025-10-16 07:00:00
74,420023788,adventure-works\bjorn0,production technician - wc30,1989-11-06,s,m,2009-01-07,False,43,41,9.5,1,7,production,manufacturing,3,2009-01-07,2025-10-16 23:00:00,2025-10-16 07:00:00
75,363996959,adventure-works\michiko0,production technician - wc30,1982-06-27,s,m,2009-01-26,False,44,42,9.5,1,7,production,manufacturing,3,2009-01-26,2025-10-16 23:00:00,2025-10-16 07:00:00
76,227319668,adventure-works\carol0,production technician - wc30,1988-10-17,m,f,2009-02-12,False,45,42,9.5,1,7,production,manufacturing,3,2009-02-12,2025-10-16 23:00:00,2025-10-16 07:00:00
77,301435199,adventure-works\merav0,production technician - wc30,1983-05-13,m,f,2009-03-03,False,46,43,9.5,1,7,production,manufacturing,3,2009-03-03,2025-10-16 23:00:00,2025-10-16 07:00:00
78,370989364,adventure-works\reuben0,production supervisor - wc40,1987-08-27,m,m,2008-12-15,False,72,56,25.0,2,7,production,manufacturing,2,2008-12-15,2025-10-16 15:00:00,2025-10-16 23:00:00
79,697712387,adventure-works\eric1,production technician - wc40,1966-12-08,m,m,2010-01-24,False,60,50,15.0,1,7,production,manufacturing,2,2010-01-24,2025-10-16 15:00:00,2025-10-16 23:00:00
80,943170460,adventure-works\sandeep0,production technician - wc40,1970-12-03,s,m,2010-01-17,False,65,52,15.0,1,7,production,manufacturing,2,2010-01-17,2025-10-16 15:00:00,2025-10-16 23:00:00
81,413787783,adventure-works\mihail0,production technician - wc40,1971-03-09,s,m,2009-12-29,False,64,52,15.0,1,7,production,manufacturing,2,2009-12-29,2025-10-16 15:00:00,2025-10-16 23:00:00
82,58791499,adventure-works\jack1,production technician - wc40,1973-08-29,s,m,2010-03-03,False,62,51,15.0,1,7,production,manufacturing,2,2010-03-03,2025-10-16 15:00:00,2025-10-16 23:00:00
83,988315686,adventure-works\patrick1,production technician - wc40,1973-12-23,m,m,2010-02-12,False,61,50,15.0,1,7,production,manufacturing,2,2010-02-12,2025-10-16 15:00:00,2025-10-16 23:00:00
84,947029962,adventure-works\frank3,production technician - wc40,1952-03-02,m,m,2010-02-05,False,66,53,15.0,1,7,production,manufacturing,2,2010-02-05,2025-10-16 15:00:00,2025-10-16 23:00:00
85,1662732,adventure-works\brian2,production technician - wc40,1970-12-23,s,m,2009-12-11,False,63,51,15.0,1,7,production,manufacturing,2,2009-12-11,2025-10-16 15:00:00,2025-10-16 23:00:00
86,769680433,adventure-works\ryan0,production technician - wc40,1972-06-13,m,m,2009-01-05,False,59,49,15.0,1,7,production,manufacturing,2,2009-01-05,2025-10-16 15:00:00,2025-10-16 23:00:00
87,7201901,adventure-works\cristian0,production supervisor - wc10,1984-04-11,m,m,2008-12-22,False,67,53,25.0,2,7,production,manufacturing,3,2008-12-22,2025-10-16 23:00:00,2025-10-16 07:00:00
88,294148271,adventure-works\betsy0,production technician - wc10,1966-12-17,s,f,2009-12-18,False,99,69,13.45,1,7,production,manufacturing,3,2009-12-18,2025-10-16 23:00:00,2025-10-16 07:00:00
89,90888098,adventure-works\patrick0,production technician - wc10,1986-09-10,s,m,2010-02-01,False,96,68,13.45,1,7,production,manufacturing,3,2010-02-01,2025-10-16 23:00:00,2025-10-16 07:00:00
90,82638150,adventure-works\danielle0,production technician - wc10,1986-09-07,s,f,2010-02-20,False,97,68,13.45,1,7,production,manufacturing,3,2010-02-20,2025-10-16 23:00:00,2025-10-16 07:00:00
91,390124815,adventure-works\kimberly0,production technician - wc10,1986-09-13,s,f,2010-01-12,False,95,67,13.45,1,7,production,manufacturing,3,2010-01-12,2025-10-16 23:00:00,2025-10-16 07:00:00
92,826454897,adventure-works\tom0,production technician - wc10,1986-10-01,m,m,2010-03-10,False,98,69,13.45,1,7,production,manufacturing,3,2010-03-10,2025-10-16 23:00:00,2025-10-16 07:00:00
93,778552911,adventure-works\kok-ho0,production supervisor - wc50,1980-04-28,s,m,2008-12-27,False,78,59,25.0,2,7,production,manufacturing,2,2008-12-27,2025-10-16 15:00:00,2025-10-16 23:00:00
94,718299860,adventure-works\russell0,production technician - wc50,1972-11-25,m,m,2008-12-12,False,6,23,11.0,1,7,production,manufacturing,2,2008-12-12,2025-10-16 15:00:00,2025-10-16 23:00:00
95,674171828,adventure-works\jim0,production technician - wc50,1986-09-08,m,m,2008-12-19,False,1,20,11.0,1,7,production,manufacturing,2,2008-12-19,2025-10-16 15:00:00,2025-10-16 23:00:00
96,912141525,adventure-works\elizabeth0,production technician - wc50,1990-01-25,m,f,2009-03-02,False,5,22,11.0,1,7,production,manufacturing,2,2009-03-02,2025-10-16 15:00:00,2025-10-16 23:00:00
97,370581729,adventure-works\mandar0,production technician - wc50,1986-03-21,s,m,2009-02-10,False,0,20,11.0,1,7,production,manufacturing,2,2009-02-10,2025-10-16 15:00:00,2025-10-16 23:00:00
98,152085091,adventure-works\sameer0,production technician - wc50,1978-06-26,m,m,2009-02-11,False,4,22,11.0,1,7,production,manufacturing,2,2009-02-11,2025-10-16 15:00:00,2025-10-16 23:00:00
99,431859843,adventure-works\nuan0,production technician - wc50,1979-03-29,s,m,2009-01-06,False,2,21,11.0,1,7,production,manufacturing,2,2009-01-06,2025-10-16 15:00:00,2025-10-16 23:00:00
100,204035155,adventure-works\lolan0,production technician - wc50,1973-01-24,m,m,2009-01-12,False,7,23,11.0,1,7,production,manufacturing,2,2009-01-12,2025-10-16 15:00:00,2025-10-16 23:00:00
101,153288994,adventure-works\houman0,production technician - wc50,1971-08-30,m,m,2009-01-25,False,3,21,11.0,1,7,production,manufacturing,2,2009-01-25,2025-10-16 15:00:00,2025-10-16 23:00:00
102,360868122,adventure-works\zheng0,production supervisor - wc10,1983-10-26,s,m,2008-12-03,False,66,53,25.0,2,7,production,manufacturing,2,2008-12-03,2025-10-16 15:00:00,2025-10-16 23:00:00
103,455563743,adventure-works\ebru0,production technician - wc10,1986-09-22,s,m,2009-12-06,False,93,66,13.45,1,7,production,manufacturing,2,2009-12-06,2025-10-16 15:00:00,2025-10-16 23:00:00
104,717889520,adventure-works\mary1,production technician - wc10,1986-09-19,m,f,2009-12-25,False,94,67,13.45,1,7,production,manufacturing,2,2009-12-25,2025-10-16 15:00:00,2025-10-16 23:00:00
105,801365500,adventure-works\kevin2,production technician - wc10,1986-09-19,s,m,2009-12-25,False,90,65,13.45,1,7,production,manufacturing,2,2009-12-25,2025-10-16 15:00:00,2025-10-16 23:00:00
106,561196580,adventure-works\john4,production technician - wc10,1986-09-28,s,m,2010-02-27,False,92,66,13.45,1,7,production,manufacturing,2,2010-02-27,2025-10-16 15:00:00,2025-10-16 23:00:00
107,393421437,adventure-works\christopher0,production technician - wc10,1986-10-01,m,m,2010-02-08,False,91,65,13.45,1,7,production,manufacturing,2,2010-02-08,2025-10-16 15:00:00,2025-10-16 23:00:00
108,630184120,adventure-works\jinghao0,production supervisor - wc50,1989-02-05,s,m,2008-12-08,False,77,58,25.0,2,7,production,manufacturing,1,2008-12-08,2025-10-16 07:00:00,2025-10-16 15:00:00
109,113695504,adventure-works\alice0,production technician - wc50,1978-01-26,m,f,2008-12-07,False,95,67,11.0,1,7,production,manufacturing,1,2008-12-07,2025-10-16 07:00:00,2025-10-16 15:00:00
110,857651804,adventure-works\jun0,production technician - wc50,1979-07-06,s,m,2008-12-14,False,90,65,11.0,1,7,production,manufacturing,1,2008-12-14,2025-10-16 07:00:00,2025-10-16 15:00:00
111,415823523,adventure-works\suroor0,production technician - wc50,1978-02-25,s,m,2008-12-17,False,93,66,11.0,1,7,production,manufacturing,1,2008-12-17,2025-10-16 07:00:00,2025-10-16 15:00:00
112,981597097,adventure-works\john1,production technician - wc50,1978-05-31,s,m,2009-01-01,False,91,65,11.0,1,7,production,manufacturing,1,2009-01-01,2025-10-16 07:00:00,2025-10-16 15:00:00
113,54759846,adventure-works\linda0,production technician - wc50,1987-07-17,m,f,2008-12-25,False,96,68,11.0,1,7,production,manufacturing,1,2008-12-25,2025-10-16 07:00:00,2025-10-16 15:00:00
114,342607223,adventure-works\mindaugas0,production technician - wc50,1978-05-07,m,m,2009-01-13,False,97,68,11.0,1,7,production,manufacturing,1,2009-01-13,2025-10-16 07:00:00,2025-10-16 15:00:00
115,563680513,adventure-works\angela0,production technician - wc50,1991-05-31,s,f,2009-01-20,False,92,66,11.0,1,7,production,manufacturing,1,2009-01-20,2025-10-16 07:00:00,2025-10-16 15:00:00
116,398737566,adventure-works\michael2,production technician - wc50,1974-05-03,s,m,2009-01-31,False,98,69,11.0,1,7,production,manufacturing,1,2009-01-31,2025-10-16 07:00:00,2025-10-16 15:00:00
117,599942664,adventure-works\chad0,production technician - wc50,1990-08-04,m,m,2009-02-18,False,99,69,11.0,1,7,production,manufacturing,1,2009-02-18,2025-10-16 07:00:00,2025-10-16 15:00:00
118,222400012,adventure-works\don0,production technician - wc50,1971-06-13,m,m,2009-02-13,False,88,64,11.0,1,7,production,manufacturing,1,2009-02-13,2025-10-16 07:00:00,2025-10-16 15:00:00
119,334834274,adventure-works\michael4,production technician - wc50,1989-06-15,s,m,2009-02-25,False,94,67,11.0,1,7,production,manufacturing,1,2009-02-25,2025-10-16 07:00:00,2025-10-16 15:00:00
120,211789056,adventure-works\kitti0,production technician - wc50,1987-06-06,s,f,2009-03-04,False,89,64,11.0,1,7,production,manufacturing,1,2009-03-04,2025-10-16 07:00:00,2025-10-16 15:00:00
121,521265716,adventure-works\pilar0,shipping and receiving supervisor,1972-09-09,s,m,2009-01-02,True,93,66,19.2308,2,15,shipping and receiving,inventory management,1,2009-01-02,2025-10-16 07:00:00,2025-10-16 15:00:00
122,586486572,adventure-works\susan0,stocker,1978-02-17,s,f,2008-12-07,False,97,68,9.0,1,15,shipping and receiving,inventory management,2,2008-12-07,2025-10-16 15:00:00,2025-10-16 23:00:00
123,337752649,adventure-works\vamsi0,shipping and receiving clerk,1977-03-18,m,m,2008-12-07,False,95,67,9.5,2,15,shipping and receiving,inventory management,2,2008-12-07,2025-10-16 15:00:00,2025-10-16 23:00:00
124,420776180,adventure-works\kim0,stocker,1984-04-30,s,f,2008-12-26,False,98,69,9.0,1,15,shipping and receiving,inventory management,3,2008-12-26,2025-10-16 23:00:00,2025-10-16 07:00:00
125,584205124,adventure-works\matthias0,shipping and receiving clerk,1973-11-11,m,m,2009-01-20,False,94,67,9.5,2,15,shipping and receiving,inventory management,1,2009-01-20,2025-10-16 07:00:00,2025-10-16 15:00:00
126,652779496,adventure-works\jimmy0,stocker,1985-05-04,m,m,2009-02-26,False,96,68,9.0,1,15,shipping and receiving,inventory management,1,2009-02-26,2025-10-16 07:00:00,2025-10-16 15:00:00
127,750905084,adventure-works\david4,production supervisor - wc40,1983-07-02,s,m,2009-01-03,False,73,56,25.0,2,7,production,manufacturing,3,2009-01-03,2025-10-16 23:00:00,2025-10-16 07:00:00
