PersonBusinessEntityID,PersonType,Title,FirstName,MiddleName,LastName,Suffix,EmailPromotion,LoginID,OrganizationLevel,JobTitle,BirthDate,MaritalStatus,Gender,HireDate,SalariedFlag,VacationHours,SickLeaveHours,CurrentFlag,DepartmentID,ShiftID,StartDate,EndDate,RateChangeDate,Rate,PayFrequency,DepartmentName,GroupName,EmailAddress,PhoneNumber,PhoneNumberTypeID,AddressTypeID
11,EM,,Ovidiu,V,Cracium,,0,adventure-works\ovidiu0,3,Senior Tool Designer,1/17/1978,S,M,12/5/2010,FALSE,7,23,TRUE,2,1,12/5/2010,,12/5/2010,28.8462,2,Tool Design,Research and Development,ovidiu0@adventure-works.com,719-555-0181,1,2
12,EM,,Thierry,B,D'Hers,,2,adventure-works\thierry0,4,Tool Designer,7/29/1959,M,M,12/11/2007,FALSE,9,24,TRUE,2,1,12/11/2007,,12/11/2007,25,2,Tool Design,Research and Development,thierry0@adventure-works.com,168-555-0183,3,2
13,EM,Ms.,Janice,M,Galvin,,2,adventure-works\janice0,4,Tool Designer,5/28/1989,M,F,12/23/2010,FALSE,8,24,TRUE,2,1,12/23/2010,,12/23/2010,25,2,Tool Design,Research and Development,janice0@adventure-works.com,473-555-0117,3,2
14,EM,,Michael,I,Sullivan,,2,adventure-works\michael8,3,Senior Design Engineer,6/16/1979,S,M,12/30/2010,TRUE,3,21,TRUE,1,1,12/30/2010,,12/30/2010,36.0577,2,Engineering,Research and Development,michael8@adventure-works.com,465-555-0156,1,2
15,EM,,Sharon,B,Salavaria,,2,adventure-works\sharon0,3,Design Engineer,5/2/1961,M,F,1/18/2011,TRUE,4,22,TRUE,1,1,1/18/2011,,1/18/2011,32.6923,2,Engineering,Research and Development,sharon0@adventure-works.com,970-555-0138,1,2
16,EM,,David,M,Bradley,,1,adventure-works\david0,1,Marketing Manager,3/19/1975,S,M,12/20/2007,TRUE,40,40,TRUE,5,1,12/20/2007,7/14/2009,12/20/2007,24,2,Purchasing,Inventory Management,david0@adventure-works.com,913-555-0172,3,2
16,EM,,David,M,Bradley,,1,adventure-works\david0,1,Marketing Manager,3/19/1975,S,M,12/20/2007,TRUE,40,40,TRUE,4,1,7/15/2009,,12/20/2007,24,2,Marketing,Sales and Marketing,david0@adventure-works.com,913-555-0172,3,2
16,EM,,David,M,Bradley,,1,adventure-works\david0,1,Marketing Manager,3/19/1975,S,M,12/20/2007,TRUE,40,40,TRUE,5,1,12/20/2007,7/14/2009,7/15/2009,28.75,2,Purchasing,Inventory Management,david0@adventure-works.com,913-555-0172,3,2
16,EM,,David,M,Bradley,,1,adventure-works\david0,1,Marketing Manager,3/19/1975,S,M,12/20/2007,TRUE,40,40,TRUE,4,1,7/15/2009,,7/15/2009,28.75,2,Marketing,Sales and Marketing,david0@adventure-works.com,913-555-0172,3,2
16,EM,,David,M,Bradley,,1,adventure-works\david0,1,Marketing Manager,3/19/1975,S,M,12/20/2007,TRUE,40,40,TRUE,5,1,12/20/2007,7/14/2009,4/30/2012,37.5,2,Purchasing,Inventory Management,david0@adventure-works.com,913-555-0172,3,2
16,EM,,David,M,Bradley,,1,adventure-works\david0,1,Marketing Manager,3/19/1975,S,M,12/20/2007,TRUE,40,40,TRUE,4,1,7/15/2009,,4/30/2012,37.5,2,Marketing,Sales and Marketing,david0@adventure-works.com,913-555-0172,3,2
17,EM,,Kevin,F,Brown,,2,adventure-works\kevin0,2,Marketing Assistant,5/3/1987,S,M,1/26/2007,FALSE,42,41,TRUE,4,1,1/26/2007,,1/26/2007,13.4615,2,Marketing,Sales and Marketing,kevin0@adventure-works.com,150-555-0189,1,2
18,EM,,John,L,Wood,,2,adventure-works\john5,2,Marketing Specialist,3/6/1978,S,M,2/7/2011,FALSE,48,44,TRUE,4,1,2/7/2011,,2/7/2011,14.4231,2,Marketing,Sales and Marketing,john5@adventure-works.com,486-555-0150,3,2
19,EM,,Mary,A,Dempsey,,1,adventure-works\mary2,2,Marketing Assistant,1/29/1978,S,F,2/14/2011,FALSE,43,41,TRUE,4,1,2/14/2011,,2/14/2011,13.4615,2,Marketing,Sales and Marketing,mary2@adventure-works.com,124-555-0114,1,2
20,EM,,Wanida,M,Benshoof,,2,adventure-works\wanida0,2,Marketing Assistant,3/17/1975,M,F,1/7/2011,FALSE,41,40,TRUE,4,1,1/7/2011,,1/7/2011,13.4615,2,Marketing,Sales and Marketing,wanida0@adventure-works.com,708-555-0141,3,2
21,EM,,Terry,J,Eminhizer,,2,adventure-works\terry0,2,Marketing Specialist,2/4/1986,M,M,3/2/2009,FALSE,44,42,TRUE,4,1,3/2/2009,,3/2/2009,14.4231,2,Marketing,Sales and Marketing,terry0@adventure-works.com,138-555-0118,1,2
22,EM,,Sariya,E,Harnpadoungsataya,,0,adventure-works\sariya0,2,Marketing Specialist,5/21/1987,S,M,12/12/2008,FALSE,45,42,TRUE,4,1,12/12/2008,,12/12/2008,14.4231,2,Marketing,Sales and Marketing,sariya0@adventure-works.com,399-555-0176,3,2
23,EM,,Mary,E,Gibson,,0,adventure-works\mary0,2,Marketing Specialist,9/13/1962,M,F,1/12/2009,FALSE,46,43,TRUE,4,1,1/12/2009,,1/12/2009,14.4231,2,Marketing,Sales and Marketing,mary0@adventure-works.com,531-555-0183,3,2
24,EM,Ms.,Jill,A,Williams,,0,adventure-works\jill0,2,Marketing Specialist,6/18/1979,M,F,1/18/2009,FALSE,47,43,TRUE,4,1,1/18/2009,,1/18/2009,14.4231,2,Marketing,Sales and Marketing,jill0@adventure-works.com,510-555-0121,3,2
25,EM,,James,R,Hamilton,,0,adventure-works\james1,1,Vice President of Production,1/7/1983,S,M,2/3/2009,TRUE,64,52,TRUE,7,1,2/3/2009,,2/3/2009,84.1346,2,Production,Manufacturing,james1@adventure-works.com,870-555-0122,3,2
26,EM,,Peter,J,Krebs,,0,adventure-works\peter0,2,Production Control Manager,11/3/1982,M,M,12/1/2008,TRUE,43,41,TRUE,8,1,12/1/2008,,12/1/2008,24.5192,2,Production Control,Manufacturing,peter0@adventure-works.com,913-555-0196,3,2
27,EM,,Jo,A,Brown,,0,adventure-works\jo0,3,Production Supervisor - WC60,10/8/1956,S,F,2/27/2008,FALSE,80,60,TRUE,7,1,2/27/2008,,2/27/2008,25,2,Production,Manufacturing,jo0@adventure-works.com,632-555-0129,1,2
28,EM,,Guy,R,Gilbert,,0,adventure-works\guy1,4,Production Technician - WC60,3/13/1988,M,M,6/30/2006,FALSE,21,30,TRUE,7,1,6/30/2006,,6/30/2006,12.45,1,Production,Manufacturing,guy1@adventure-works.com,320-555-0195,3,2
29,EM,,Mark,K,McArthur,,1,adventure-works\mark1,4,Production Technician - WC60,9/25/1979,S,M,1/23/2009,FALSE,19,29,TRUE,7,1,1/23/2009,,1/23/2009,12.45,1,Production,Manufacturing,mark1@adventure-works.com,417-555-0154,3,2
30,EM,,Britta,L,Simon,,0,adventure-works\britta0,4,Production Technician - WC60,9/28/1989,M,F,1/29/2009,FALSE,14,27,TRUE,7,1,1/29/2009,,1/29/2009,12.45,1,Production,Manufacturing,britta0@adventure-works.com,955-555-0169,1,2
31,EM,,Margie,W,Shoop,,2,adventure-works\margie0,4,Production Technician - WC60,5/20/1986,M,F,1/4/2009,FALSE,18,29,TRUE,7,1,1/4/2009,,1/4/2009,12.45,1,Production,Manufacturing,margie0@adventure-works.com,818-555-0128,1,2
32,EM,,Rebecca,A,Laszlo,,1,adventure-works\rebecca0,4,Production Technician - WC60,7/10/1977,M,F,12/29/2008,FALSE,23,31,TRUE,7,1,12/29/2008,,12/29/2008,12.45,1,Production,Manufacturing,rebecca0@adventure-works.com,314-555-0113,1,2
33,EM,,Annik,O,Stahl,,0,adventure-works\annik0,4,Production Technician - WC60,12/26/1976,M,M,12/17/2008,FALSE,17,28,TRUE,7,1,12/17/2008,,12/17/2008,12.45,1,Production,Manufacturing,annik0@adventure-works.com,499-555-0125,3,2
34,EM,,Suchitra,O,Mohan,,2,adventure-works\suchitra0,4,Production Technician - WC60,6/10/1987,M,F,2/16/2009,FALSE,15,27,TRUE,7,1,2/16/2009,,2/16/2009,12.45,1,Production,Manufacturing,suchitra0@adventure-works.com,753-555-0129,1,2
35,EM,,Brandon,G,Heidepriem,,1,adventure-works\brandon0,4,Production Technician - WC60,1/10/1977,M,M,2/8/2009,FALSE,22,31,TRUE,7,1,2/8/2009,,2/8/2009,12.45,1,Production,Manufacturing,brandon0@adventure-works.com,429-555-0137,1,2
36,EM,,Jose,R,Lugo,,2,adventure-works\jose0,4,Production Technician - WC60,7/31/1984,M,M,2/10/2009,FALSE,20,30,TRUE,7,1,2/10/2009,,2/10/2009,12.45,1,Production,Manufacturing,jose0@adventure-works.com,587-555-0115,1,2
37,EM,,Chris,O,Okelberry,,0,adventure-works\chris2,4,Production Technician - WC60,8/7/1986,S,M,3/7/2009,FALSE,16,28,TRUE,7,1,3/7/2009,,3/7/2009,12.45,1,Production,Manufacturing,chris2@adventure-works.com,315-555-0144,1,2
38,EM,,Kim,B,Abercrombie,,2,adventure-works\kim1,4,Production Technician - WC60,12/14/1966,M,F,1/16/2010,FALSE,24,32,TRUE,7,1,1/16/2010,,1/16/2010,12.45,1,Production,Manufacturing,kim1@adventure-works.com,208-555-0114,1,2
39,EM,,Ed,R,Dudenhoefer,,0,adventure-works\ed0,4,Production Technician - WC60,9/11/1971,S,M,2/5/2010,FALSE,25,32,TRUE,7,1,2/5/2010,,2/5/2010,12.45,1,Production,Manufacturing,ed0@adventure-works.com,919-555-0140,3,2
40,EM,,JoLynn,M,Dobney,,1,adventure-works\jolynn0,3,Production Supervisor - WC60,1/16/1956,S,F,12/26/2007,FALSE,82,61,TRUE,7,3,12/26/2007,,12/26/2007,25,2,Production,Manufacturing,jolynn0@adventure-works.com,903-555-0145,3,2
41,EM,,Bryan,,Baker,,0,adventure-works\bryan0,4,Production Technician - WC60,8/27/1973,S,M,1/21/2009,FALSE,35,37,TRUE,7,3,1/21/2009,,1/21/2009,12.45,1,Production,Manufacturing,bryan0@adventure-works.com,712-555-0113,1,2
42,EM,,James,D,Kramer,,2,adventure-works\james0,4,Production Technician - WC60,7/25/1984,M,M,12/27/2008,FALSE,39,39,TRUE,7,3,12/27/2008,,12/27/2008,12.45,1,Production,Manufacturing,james0@adventure-works.com,119-555-0117,1,2
43,EM,,Nancy,A,Anderson,,1,adventure-works\nancy0,4,Production Technician - WC60,11/19/1988,M,F,1/2/2009,FALSE,34,37,TRUE,7,3,1/2/2009,,1/2/2009,12.45,1,Production,Manufacturing,nancy0@adventure-works.com,970-555-0118,1,2
44,EM,,Simon,D,Rapier,,0,adventure-works\simon0,4,Production Technician - WC60,5/17/1990,S,M,12/8/2008,FALSE,38,39,TRUE,7,3,12/8/2008,,12/8/2008,12.45,1,Production,Manufacturing,simon0@adventure-works.com,963-555-0134,3,2
45,EM,,Thomas,R,Michaels,,1,adventure-works\thomas0,4,Production Technician - WC60,1/10/1986,M,M,2/26/2009,FALSE,37,38,TRUE,7,3,2/26/2009,,2/26/2009,12.45,1,Production,Manufacturing,thomas0@adventure-works.com,278-555-0118,1,2
46,EM,,Eugene,O,Kogan,,0,adventure-works\eugene1,4,Production Technician - WC60,2/10/1976,S,M,2/8/2009,FALSE,36,38,TRUE,7,3,2/8/2009,,2/8/2009,12.45,1,Production,Manufacturing,eugene1@adventure-works.com,173-555-0179,1,2
47,EM,,Andrew,R,Hill,,1,adventure-works\andrew0,3,Production Supervisor - WC10,9/6/1988,S,M,2/22/2009,FALSE,65,52,TRUE,7,1,2/22/2009,,2/22/2009,25,2,Production,Manufacturing,andrew0@adventure-works.com,908-555-0159,1,2
48,EM,,Ruth,Ann,Ellerbrock,,0,adventure-works\ruth0,4,Production Technician - WC10,6/4/1956,M,F,1/6/2008,FALSE,83,61,TRUE,7,1,1/6/2008,,1/6/2008,13.45,1,Production,Manufacturing,ruth0@adventure-works.com,145-555-0130,1,2
49,EM,,Barry,K,Johnson,,0,adventure-works\barry0,4,Production Technician - WC10,3/26/1956,S,M,1/7/2008,FALSE,88,64,TRUE,7,1,1/7/2008,,1/7/2008,13.45,1,Production,Manufacturing,barry0@adventure-works.com,206-555-0180,3,2
50,EM,,Sidney,M,Higa,,0,adventure-works\sidney0,4,Production Technician - WC10,8/30/1956,M,M,2/2/2008,FALSE,84,62,TRUE,7,1,2/2/2008,,2/2/2008,13.45,1,Production,Manufacturing,sidney0@adventure-works.com,424-555-0189,3,2
51,EM,,Jeffrey,L,Ford,,0,adventure-works\jeffrey0,4,Production Technician - WC10,7/11/1956,S,M,2/20/2008,FALSE,85,62,TRUE,7,1,2/20/2008,,2/20/2008,13.45,1,Production,Manufacturing,jeffrey0@adventure-works.com,984-555-0185,3,2
52,EM,,Doris,M,Hartwig,,0,adventure-works\doris0,4,Production Technician - WC10,4/4/1956,M,F,3/10/2008,FALSE,86,63,TRUE,7,1,3/10/2008,,3/10/2008,13.45,1,Production,Manufacturing,doris0@adventure-works.com,328-555-0150,1,2
53,EM,,Diane,R,Glimp,,2,adventure-works\diane0,4,Production Technician - WC10,3/29/1956,M,F,3/28/2008,FALSE,87,63,TRUE,7,1,3/28/2008,,3/28/2008,13.45,1,Production,Manufacturing,diane0@adventure-works.com,202-555-0151,1,2
54,EM,,Bonnie,N,Kearney,,0,adventure-works\bonnie0,4,Production Technician - WC10,9/10/1986,M,F,1/1/2010,FALSE,89,64,TRUE,7,1,1/1/2010,,1/1/2010,13.45,1,Production,Manufacturing,bonnie0@adventure-works.com,264-555-0150,3,2
55,EM,,Taylor,R,Maxwell,,0,adventure-works\taylor0,3,Production Supervisor - WC50,4/1/1956,M,M,2/8/2008,FALSE,79,59,TRUE,7,3,2/8/2008,,2/8/2008,25,2,Production,Manufacturing,taylor0@adventure-works.com,508-555-0165,3,2
56,EM,,Denise,H,Smith,,0,adventure-works\denise0,4,Production Technician - WC50,7/6/1988,M,F,2/5/2009,FALSE,9,24,TRUE,7,3,2/5/2009,,2/5/2009,11,1,Production,Manufacturing,denise0@adventure-works.com,869-555-0119,1,2
57,EM,,Frank,T,Miller,,1,adventure-works\frank1,4,Production Technician - WC50,7/24/1971,S,M,2/23/2009,FALSE,10,25,TRUE,7,3,2/23/2009,,2/23/2009,11,1,Production,Manufacturing,frank1@adventure-works.com,167-555-0139,3,2
58,EM,,Kendall,C,Keil,,2,adventure-works\kendall0,4,Production Technician - WC50,5/30/1986,M,M,12/5/2008,FALSE,11,25,TRUE,7,3,12/5/2008,,12/5/2008,11,1,Production,Manufacturing,kendall0@adventure-works.com,138-555-0128,3,2
59,EM,,Bob,N,Hohman,,0,adventure-works\bob0,4,Production Technician - WC50,8/16/1979,S,M,12/24/2008,FALSE,12,26,TRUE,7,3,12/24/2008,,12/24/2008,11,1,Production,Manufacturing,bob0@adventure-works.com,611-555-0116,3,2
60,EM,,Pete,C,Male,,2,adventure-works\pete0,4,Production Technician - WC50,2/3/1977,S,M,1/11/2009,FALSE,13,26,TRUE,7,3,1/11/2009,,1/11/2009,11,1,Production,Manufacturing,pete0@adventure-works.com,768-555-0123,1,2
61,EM,,Diane,H,Tibbott,,0,adventure-works\diane2,4,Production Technician - WC50,8/9/1989,S,F,1/18/2009,FALSE,8,24,TRUE,7,3,1/18/2009,,1/18/2009,11,1,Production,Manufacturing,diane2@adventure-works.com,361-555-0180,3,2
62,EM,,John,T,Campbell,,1,adventure-works\john0,3,Production Supervisor - WC60,8/7/1956,M,M,3/17/2008,FALSE,81,60,TRUE,7,2,3/17/2008,,3/17/2008,25,2,Production,Manufacturing,john0@adventure-works.com,435-555-0113,3,2
63,EM,,Maciej,W,Dusza,,0,adventure-works\maciej0,4,Production Technician - WC60,1/30/1955,S,M,1/29/2010,FALSE,30,35,TRUE,7,2,1/29/2010,,1/29/2010,12.45,1,Production,Manufacturing,maciej0@adventure-works.com,237-555-0128,1,2
64,EM,,Michael,J,Zwilling,,1,adventure-works\michael7,4,Production Technician - WC60,9/5/1973,S,M,2/23/2010,FALSE,26,33,TRUE,7,2,2/23/2010,,2/23/2010,12.45,1,Production,Manufacturing,michael7@adventure-works.com,582-555-0148,1,2
65,EM,,Randy,T,Reeves,,0,adventure-works\randy0,4,Production Technician - WC60,4/28/1970,M,M,2/23/2010,FALSE,29,34,TRUE,7,2,2/23/2010,,2/23/2010,12.45,1,Production,Manufacturing,randy0@adventure-works.com,961-555-0122,1,2
66,EM,,Karan,R,Khanna,,1,adventure-works\karan0,4,Production Technician - WC60,3/7/1970,S,M,12/22/2009,FALSE,28,34,TRUE,7,2,12/22/2009,,12/22/2009,12.45,1,Production,Manufacturing,karan0@adventure-works.com,447-555-0186,3,2
67,EM,,Jay,G,Adams,,0,adventure-works\jay0,4,Production Technician - WC60,2/11/1976,S,M,3/5/2009,FALSE,32,36,TRUE,7,2,3/5/2009,,3/5/2009,12.45,1,Production,Manufacturing,jay0@adventure-works.com,407-555-0165,3,2
68,EM,,Charles,B,Fitzgerald,,2,adventure-works\charles0,4,Production Technician - WC60,9/2/1971,S,M,12/3/2009,FALSE,27,33,TRUE,7,2,12/3/2009,,12/3/2009,12.45,1,Production,Manufacturing,charles0@adventure-works.com,931-555-0118,3,2
69,EM,,Steve,F,Masters,,1,adventure-works\steve0,4,Production Technician - WC60,4/6/1991,S,M,2/15/2009,FALSE,31,35,TRUE,7,2,2/15/2009,,2/15/2009,12.45,1,Production,Manufacturing,steve0@adventure-works.com,712-555-0170,3,2
70,EM,,David,J,Ortiz,,0,adventure-works\david2,4,Production Technician - WC60,12/29/1984,M,M,12/15/2008,FALSE,33,36,TRUE,7,2,12/15/2008,,12/15/2008,12.45,1,Production,Manufacturing,david2@adventure-works.com,712-555-0119,3,2
71,EM,,Michael,Sean,Ray,,2,adventure-works\michael3,3,Production Supervisor - WC30,1/29/1989,S,M,2/15/2009,FALSE,70,55,TRUE,7,3,2/15/2009,,2/15/2009,25,2,Production,Manufacturing,michael3@adventure-works.com,156-555-0199,1,2
72,EM,,Steven,T,Selikoff,,2,adventure-works\steven0,4,Production Technician - WC30,5/14/1977,M,M,12/1/2008,FALSE,41,40,TRUE,7,3,12/1/2008,,12/1/2008,9.5,1,Production,Manufacturing,steven0@adventure-works.com,925-555-0114,3,2
73,EM,,Carole,M,Poland,,2,adventure-works\carole0,4,Production Technician - WC30,10/19/1983,M,F,12/19/2008,FALSE,42,41,TRUE,7,3,12/19/2008,,12/19/2008,9.5,1,Production,Manufacturing,carole0@adventure-works.com,688-555-0192,1,2
74,EM,,Bjorn,M,Rettig,,1,adventure-works\bjorn0,4,Production Technician - WC30,11/6/1989,S,M,1/7/2009,FALSE,43,41,TRUE,7,3,1/7/2009,,1/7/2009,9.5,1,Production,Manufacturing,bjorn0@adventure-works.com,199-555-0117,3,2
75,EM,,Michiko,F,Osada,,0,adventure-works\michiko0,4,Production Technician - WC30,6/27/1982,S,M,1/26/2009,FALSE,44,42,TRUE,7,3,1/26/2009,,1/26/2009,9.5,1,Production,Manufacturing,michiko0@adventure-works.com,984-555-0148,3,2
76,EM,,Carol,M,Philips,,2,adventure-works\carol0,4,Production Technician - WC30,10/17/1988,M,F,2/12/2009,FALSE,45,42,TRUE,7,3,2/12/2009,,2/12/2009,9.5,1,Production,Manufacturing,carol0@adventure-works.com,609-555-0153,1,2
77,EM,,Merav,A,Netz,,0,adventure-works\merav0,4,Production Technician - WC30,5/13/1983,M,F,3/3/2009,FALSE,46,43,TRUE,7,3,3/3/2009,,3/3/2009,9.5,1,Production,Manufacturing,merav0@adventure-works.com,224-555-0187,3,2
78,EM,,Reuben,H,D'sa,,2,adventure-works\reuben0,3,Production Supervisor - WC40,8/27/1987,M,M,12/15/2008,FALSE,72,56,TRUE,7,2,12/15/2008,,12/15/2008,25,2,Production,Manufacturing,reuben0@adventure-works.com,191-555-0112,3,2
79,EM,,Eric,L,Brown,,0,adventure-works\eric1,4,Production Technician - WC40,12/8/1966,M,M,1/24/2010,FALSE,60,50,TRUE,7,2,1/24/2010,,1/24/2010,15,1,Production,Manufacturing,eric1@adventure-works.com,680-555-0118,1,2
80,EM,,Sandeep,P,Kaliyath,,2,adventure-works\sandeep0,4,Production Technician - WC40,12/3/1970,S,M,1/17/2010,FALSE,65,52,TRUE,7,2,1/17/2010,,1/17/2010,15,1,Production,Manufacturing,sandeep0@adventure-works.com,166-555-0156,3,2
81,EM,,Mihail,U,Frintu,,0,adventure-works\mihail0,4,Production Technician - WC40,3/9/1971,S,M,12/29/2009,FALSE,64,52,TRUE,7,2,12/29/2009,,12/29/2009,15,1,Production,Manufacturing,mihail0@adventure-works.com,733-555-0128,3,2
82,EM,,Jack,T,Creasey,,0,adventure-works\jack1,4,Production Technician - WC40,8/29/1973,S,M,3/3/2010,FALSE,62,51,TRUE,7,2,3/3/2010,,3/3/2010,15,1,Production,Manufacturing,jack1@adventure-works.com,521-555-0113,1,2
83,EM,,Patrick,M,Cook,,0,adventure-works\patrick1,4,Production Technician - WC40,12/23/1973,M,M,2/12/2010,FALSE,61,50,TRUE,7,2,2/12/2010,,2/12/2010,15,1,Production,Manufacturing,patrick1@adventure-works.com,425-555-0117,1,2
84,EM,,Frank,R,Martinez,,1,adventure-works\frank3,4,Production Technician - WC40,3/2/1952,M,M,2/5/2010,FALSE,66,53,TRUE,7,2,2/5/2010,,2/5/2010,15,1,Production,Manufacturing,frank3@adventure-works.com,203-555-0196,3,2
85,EM,,Brian,Richard,Goldstein,,0,adventure-works\brian2,4,Production Technician - WC40,12/23/1970,S,M,12/11/2009,FALSE,63,51,TRUE,7,2,12/11/2009,,12/11/2009,15,1,Production,Manufacturing,brian2@adventure-works.com,730-555-0117,1,2
86,EM,,Ryan,L,Cornelsen,,2,adventure-works\ryan0,4,Production Technician - WC40,6/13/1972,M,M,1/5/2009,FALSE,59,49,TRUE,7,2,1/5/2009,,1/5/2009,15,1,Production,Manufacturing,ryan0@adventure-works.com,208-555-0114,3,2
87,EM,,Cristian,K,Petculescu,,1,adventure-works\cristian0,3,Production Supervisor - WC10,4/11/1984,M,M,12/22/2008,FALSE,67,53,TRUE,7,3,12/22/2008,,12/22/2008,25,2,Production,Manufacturing,cristian0@adventure-works.com,434-555-0133,1,2
88,EM,,Betsy,A,Stadick,,0,adventure-works\betsy0,4,Production Technician - WC10,12/17/1966,S,F,12/18/2009,FALSE,99,69,TRUE,7,3,12/18/2009,,12/18/2009,13.45,1,Production,Manufacturing,betsy0@adventure-works.com,405-555-0171,1,2
89,EM,,Patrick,C,Wedge,,0,adventure-works\patrick0,4,Production Technician - WC10,9/10/1986,S,M,2/1/2010,FALSE,96,68,TRUE,7,3,2/1/2010,,2/1/2010,13.45,1,Production,Manufacturing,patrick0@adventure-works.com,413-555-0124,1,2
90,EM,,Danielle,C,Tiedt,,1,adventure-works\danielle0,4,Production Technician - WC10,9/7/1986,S,F,2/20/2010,FALSE,97,68,TRUE,7,3,2/20/2010,,2/20/2010,13.45,1,Production,Manufacturing,danielle0@adventure-works.com,500-555-0172,1,2
91,EM,,Kimberly,B,Zimmerman,,0,adventure-works\kimberly0,4,Production Technician - WC10,9/13/1986,S,F,1/12/2010,FALSE,95,67,TRUE,7,3,1/12/2010,,1/12/2010,13.45,1,Production,Manufacturing,kimberly0@adventure-works.com,123-555-0167,3,2
